"code","name","ZIP","address","tel","InsideInoculationPrice","child","TargetAge","OutsideInoculation","OutsideInoculationPrice","VisitCount","age"
"A120006","医療法人社団報徳会　報徳千葉診療所","260-0012","千葉県千葉市中央区本町１－１－１３","043(225)6232","3,080 ","○","満18歳以上","○","3,080 ","1事業所1回訪問70名以上",18
"A120129","医療法人社団　良弘会　長谷川胃腸科クリニック","260-0013","千葉県千葉市中央区中央３－１５－１３","043(222)8181","3,080 ","○","満16歳以上","×",NA,NA,16
"A120012","一般社団法人　千葉衛生福祉協会　千葉診療所","260-0018","千葉県千葉市中央区院内１－８－１２","043(224)2255","3,000 ","○","満20歳以上","○","3,000 ","1事業所1回訪問80名以上",20
"A120032","医療法人　和田医院","260-0018","千葉県千葉市中央区院内２－１５－７","043(227)0361","3,080 ","○","満6歳以上","×",NA,NA,6
"A120068","医療法人社団　直心会　轟健康クリニック","260-0034","千葉県千葉市中央区汐見丘町２３－１","043(203)6664","3,080 ","○","満1歳以上","×",NA,NA,1
"A120033","えりやま内科皮膚科医院","260-0044","千葉県千葉市中央区松波３－１９－８","043(254)4114","3,000 ","○","満1歳以上","×",NA,NA,1
"A120123","医療法人社団　煌和会　國分クリニック","260-0805","千葉県千葉市中央区宮崎２３５－８","043(266)2550","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120238","浜野長嶋内科","260-0824","千葉県千葉市中央区浜野町９０６","043(266)2788","2,800 ","○","0ヵ月以上","×",NA,NA,0
"A120111","川島産婦人科内科","261-0011","千葉県千葉市美浜区真砂１－１２－１１","043(278)0631","3,080 ","○","満16歳以上","×",NA,NA,16
"A120226","たみたに小児科","261-0026","千葉県千葉市美浜区幕張西３－３－１","043(276)7000","3,000 ","○","満1歳以上","×",NA,NA,1
"A120135","医療法人社団　蒼潤会　般若クリニック","262-0005","千葉県千葉市花見川区こてはし台５－９－３","043(259)6415","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120079","医療法人社団　オリーブ会　いとう新検見川クリニック","262-0025","千葉県千葉市花見川区花園１－９－１８クリニックガーデン花園３Ｂ","043(272)3213","3,080 ","○","満1歳以上","×",NA,NA,1
