"code","name","ZIP","prefecture","address","tel","InsideInoculationPrice","TargetAge","age"
"A120068","医療法人社団　直心会　轟健康クリニック","260-0034","千葉県","千葉県千葉市中央区汐見丘町２３－１","043(203)6664",3080,"満1歳以上",1
"A120033","えりやま内科皮膚科医院","260-0044","千葉県","千葉県千葉市中央区松波３－１９－８","043(254)4114",3000,"満1歳以上",1
"A120123","医療法人社団　煌和会　國分クリニック","260-0805","千葉県","千葉県千葉市中央区宮崎２３５－８","043(266)2550",3080,"6ヵ月以上",0.5
"A120238","浜野長嶋内科","260-0824","千葉県","千葉県千葉市中央区浜野町９０６","043(266)2788",2800,"0ヵ月以上",0
"A120226","たみたに小児科","261-0026","千葉県","千葉県千葉市美浜区幕張西３－３－１","043(276)7000",3000,"満1歳以上",1
"A120135","医療法人社団　蒼潤会　般若クリニック","262-0005","千葉県","千葉県千葉市花見川区こてはし台５－９－３","043(259)6415",3080,"0ヵ月以上",0
"A120079","医療法人社団　オリーブ会　いとう新検見川クリニック","262-0025","千葉県","千葉県千葉市花見川区花園１－９－１８クリニックガーデン花園３Ｂ","043(272)3213",3080,"満1歳以上",1
"A120216","さこう医院","262-0041","千葉県","千葉県千葉市花見川区柏井町１５９２－６","043(286)6091",3080,"6ヵ月以上",0.5
"A120209","医療法人社団　三育会　宮野木外科・内科","263-0005","千葉県","千葉県千葉市稲毛区長沼町２６１－３","043(215)0855",3080,"満1歳以上",1
"A120064","医療法人社団　直心会　轟診療所","263-0021","千葉県","千葉県千葉市稲毛区轟町１－１３－３","043(251)6297",3080,"満1歳以上",1
"A120241","医療法人社団　マリヤ・クリニック","263-0043","千葉県","千葉県千葉市稲毛区小仲台６－１９－１９　Ｍｙビル１階","043(287)2624",3080,"6ヵ月以上",0.5
"A120223","らいむらクリニック","264-0004","千葉県","千葉県千葉市若葉区千城台西２－１－３","043(312)5620",3080,"満1歳以上",1
"A120099","ふるかわクリニック","264-0005","千葉県","千葉県千葉市若葉区千城台北１－２７－１Ｉビル１Ｆ","043(236)7115",3000,"満3歳以上",3
"A120030","かまとり医院","266-0031","千葉県","千葉県千葉市緑区おゆみ野３－８－２","043(292)1151",3080,"6ヵ月以上",0.5
"A120182","医療法人社団　紀信会　西村内科胃腸科医院","270-0163","千葉県","千葉県流山市南流山２－２４－４","04(7150)3885",3080,"満1歳以上",1
"A120235","医療法人社団啓仁会　関宿中央医院","270-0222","千葉県","千葉県野田市木間ケ瀬２４２３－１","04(7198)5108",3080,"6ヵ月以上",0.5
"A120252","医療法人社団　淑幸会　尾崎台クリニック","270-0238","千葉県","千葉県野田市尾崎台１４","04(7127)6677",3080,"満1歳以上",1
"A120231","石橋クリニック","270-1151","千葉県","千葉県我孫子市本町１－３－７","04(7181)7711",3080,"満1歳以上",1
"A120214","社会医療法人社団　蛍水会　名戸ヶ谷あびこ病院","270-1166","千葉県","千葉県我孫子市我孫子１８５５－１","04(7157)2233",3080,"0ヵ月以上",0
"A120080","医療法人社団　優朗会　根戸クリニック","270-1168","千葉県","千葉県我孫子市根戸１７４７－６","04(7190)5705",3080,"満1歳以上",1
