,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
,,,,,"予防接種料金
（税込）",子供実施有無,,"実施
有無","予防接種料金
（税込）",訪問対象人数
,,,,,,有無,対象年齢,,,
A010055,医療法人社団　麻生内科クリニック,001-0039,"北海道札幌市北区北三十九条西５－１－
１５北電商販サトウビル３階",011(756)5733,"3,080 ",○,満13歳以上,×,,
A010033,医療法人社団池田内科,001-0901,"北海道札幌市北区新琴似一条１３－１－
７",011(764)8833,"3,080 ",○,満3歳以上,×,,
A010038,医療法人社団　健志会　しのろ駅前医院,002-8024,"北海道札幌市北区篠路四条６－１１－１
７",011(774)8388,"3,080 ",○,0ヵ月以上,×,,
A010037,医療法人社団　清香会　おおしま内科胃腸科クリニック,003-0023,"北海道札幌市白石区南郷通１８丁目北３
－２８",011(866)5511,"2,700 ",○,満1歳以上,×,,
A010022,小川医院,003-0027,"北海道札幌市白石区本通１６丁目北
１１－１４",011(864)7995,"3,000 ",○,満1歳以上,×,,
A010029,中島内科胃腸科クリニック,003-0811,"北海道札幌市白石区菊水上町
１－３－３６",011(811)2726,"3,080 ",○,満1歳以上,×,,
A010041,ＳＡＭ　ＣＬＩＮＩＣ,004-0033,"北海道札幌市厚別区上野幌三条６－５－
６",011(215)6120,"3,080 ",○,6ヵ月以上,○,"3,080 ",1事業所1回訪問10名以上
A010044,新札幌耳鼻咽喉科医院,004-0051,"北海道札幌市厚別区厚別中央一条６－２
－１５新札幌センタービル２階",011(893)1133,"3,000 ",○,満5歳以上,×,,
A010053,医療法人　ほし内科消化器科クリニック,004-0863,"北海道札幌市清田区北野３条２－１３－
５７",011(881)5551,"3,000 ",○,満13歳以上,×,,
A010059,医療法人社団　村元内科医院,005-0012,"北海道札幌市南区真駒内上町３－１－１
０",011(581)1480,"3,000 ",○,満13歳以上,×,,
A010052,医療法人　かわばた内科クリニック,006-0804,"北海道札幌市手稲区新発寒四条５－１３
－１３",011(688)2525,"3,080 ",○,満1歳以上,×,,
A010082,医療法人　基仁会　新道東おおた内科,007-0837,"北海道札幌市東区北三十七条東
１５－１－２４",011(748)1551,"2,800 ",○,6ヵ月以上,×,,
A010042,医療法人社団　北栄会　宮岸医院,007-0848,"北海道札幌市東区北四十八条東８－１－
１",011(753)2101,"3,080 ",○,満1歳以上,×,,
A010087,医療法人尚仁会　竹田病院,040-0054,北海道函館市元町２９－２１,0138(26)5811,"3,000 ",○,6ヵ月以上,×,,
A010065,医療法人　雄心会　函館おおてまちクリニック,040-0064,北海道函館市大手町１－２１,0138(23)1062,"2,500 ",○,満15歳以上,×,,
A010061,医療法人社団　守一会　北美原クリニック,041-0802,北海道函館市石川町３５０－１８,0138(34)6677,"3,000 ",○,満13歳以上,×,,
A010077,医療法人社団　仁生会　西堀病院,041-8555,北海道函館市中道２－６－１１,0138(52)1531,"3,000 ",○,満16歳以上,×,,
A010072,医療法人社団　三ッ山病院,047-0032,北海道小樽市稲穂１－９－２,0134(23)1289,"3,000 ",○,満1歳以上,×,,
A010073,小松内科循環器科医院,049-0111,北海道北斗市七重浜５－１５－１５,0138(49)1151,"3,000 ",○,満1歳以上,×,,
A010067,社会福祉法人　北海道社会事業協会　洞爺病院,049-5605,北海道虻田郡洞爺湖町高砂町１２６,0142(74)2555,"3,000 ",○,6ヵ月以上,×,,
A010080,一般財団法人　苫小牧保健センター,053-0018,北海道苫小牧市旭町２－９－７,0144(35)0080,"3,000 ",○,満15歳以上,×,,
A010007,吉川医院,053-0022,北海道苫小牧市表町５－２－３,0144(34)4565,"3,000 ",○,満1歳以上,×,,
A010054,医療法人社団　苫仁会　桜木ファミリークリニック,053-0832,北海道苫小牧市桜木町２－２５－１,0144(71)2351,"2,700 ",○,満1歳以上,×,,
A010010,医療法人社団　にっしん内科クリニック,053-0833,北海道苫小牧市日新町２－６－４３,0144(71)1500,"2,800 ",○,満13歳以上,×,,
A010076,医療法人社団　あらい内科医院,059-0026,北海道登別市若山町４－４２－５,0143(86)0338,"3,080 ",○,満3歳以上,×,,
A010008,医療法人社団　内科消化器科　サンクリニック,059-0032,北海道登別市新生町３－１１－１１,0143(87)3131,"3,080 ",○,満13歳以上,×,,
A010070,コロンビア内科,060-0001,"北海道札幌市中央区北一条西３丁目
時計台スクエアビル４階",011(207)2227,"3,080 ",○,満6歳以上,×,,
A010086,富田内科循環器科クリニック,060-0002,"北海道札幌市中央区北二条西１－１
マルイト札幌ビル２階",011(242)5300,"3,080 ",○,満13歳以上,×,,
A010085,クリニック・イン・ザ・モーニング,060-0004,"北海道札幌市中央区北四条西１６－
１－３　栗林幌西ビル１階",011(611)2005,"3,000 ",○,0ヵ月以上,○,"3,000 ",1事業所1回訪問5名以上
A010057,医療法人社団　北海道健診センタークリニック,060-0033,"北海道札幌市中央区北三条東１３－９９
－６",011(200)1558,"3,080 ",○,満15歳以上,×,,
A010047,医療法人社団　清野内科クリニック,060-0042,"北海道札幌市中央区大通西４－１
道銀ビル７階",011(221)2213,"3,000 ",○,満15歳以上,×,,
A010003,公益財団法人　パブリックヘルスリサーチセンター　北海道支部　札幌商工診療所,060-0061,"北海道札幌市中央区南一条西
５－１５－２",011(261)2010,"3,080 ",○,満13歳以上,×,,
A010069,一般財団法人　札幌同交会病院,060-0062,"北海道札幌市中央区南２条西
１９－２９１",011(611)9131,"2,800 ",○,満15歳以上,×,,
A010006,公益財団法人　北海道結核予防会　札幌複十字総合健診センター,060-0808,"北海道札幌市北区北８条西３－２８
札幌エルプラザ５階",011(700)1331,"3,000 ",○,満7歳以上,×,,
A010017,医療法人社団　啓仁会　福島医院,061-3212,北海道石狩市花川北二条２－２０２－２,0133(74)3221,"3,000 ",○,満13歳以上,×,,
A010009,医療法人　新産健会　スマイル健康クリニック,062-0052,"北海道札幌市豊平区月寒東二条１６－１
－９６",011(854)8508,"3,080 ",○,満13歳以上,×,,
A010049,クリニックもりや,063-0051,"北海道札幌市西区宮の沢一条１－１－３
宮の沢１条ビル２階",011(669)8003,"3,000 ",○,満13歳以上,×,,
A010056,医療法人社団　友善会　琴似ファミリークリニック,063-0813,北海道札幌市西区琴似三条２－８－１８,011(612)0333,"3,000 ",○,満1歳以上,×,,
A010013,医療法人社団　太田内科歯科,063-0833,"北海道札幌市西区発寒１３条
３－７－４５",011(664)6780,"3,080 ",○,満5歳以上,×,,
A010014,医療法人　新産健会　ことに・メディカル・サポート・クリニック,063-0841,"北海道札幌市西区八軒一条西１丁目
ザ・タワープレイス１Ｆ",011(631)3101,"3,000 ",○,満18歳以上,×,,
A010063,（医）社団小泉呼吸器科・内科クリニック,064-0801,"北海道札幌市中央区南一条西２７－１－
４１",011(632)8881,"2,500 ",○,満1歳以上,×,,
A010004,医療法人社団明日佳　札幌健診センター,064-0810,"北海道札幌市中央区南１０条西
１－１－３０ホテルライフォート札幌５Ｆ",011(531)2226,"3,080 ",○,満20歳以上,○,"3,080 ",1事業所1回訪問50名以上
A010018,医療法人社団　きむら小児科医院,064-0921,"北海道札幌市中央区南二十一条西
１３－２－３",011(513)2220,"3,080 ",○,0ヵ月以上,×,,
A010058,医療法人社団　尾谷病院,066-0037,北海道千歳市新富２－５－５,0123(24)5121,"3,080 ",○,満16歳以上,×,,
A010046,医療法人社団　岩見沢レディースクリニック,068-0028,北海道岩見沢市八条西１９－３－１,0126(23)2222,"3,080 ",○,満1歳以上,×,,
A010074,医療法人社団　藤花会　江別谷藤病院,069-0812,北海道江別市幸町２２－１,011(382)5111,"3,080 ",○,満15歳以上,×,,
A010043,医療法人社団　森野会　緑苑クリニック,069-0815,北海道江別市野幌末広町２－１２,011(381)6490,"3,000 ",○,満6歳以上,×,,
A010002,医療法人社団　はらだ病院,070-0031,北海道旭川市１条通１６丁目右７号,0166(25)6000,"2,200 ",○,満18歳以上,×,,
A010081,医療法人社団功和会　佐久間病院,070-0035,北海道旭川市５条通７丁目左７号,0166(22)1111,"3,000 ",○,満6歳以上,×,,
A010084,渋江医院,071-0544,北海道空知郡上富良野町栄町２－２－５,0167(45)2013,"2,160 ",○,満13歳以上,○,"2,160 ",1事業所1回訪問50名以上
A010079,（医）緑が丘クリニック,078-8804,北海道旭川市緑が丘東４条１－３－１５,0166(66)2002,"2,700 ",○,満1歳以上,×,,
A010048,山川内科医院,080-0011,北海道帯広市西一条南１１－２０,0155(24)3181,"2,300 ",○,満7歳以上,×,,
A010075,医療法人社団　たかはし内科・呼吸器内科クリニック,080-0013,"北海道帯広市西三条南４－１４
三条メディカルセンタービル３Ｆ",0155(20)5656,"3,080 ",○,満1歳以上,×,,
A010050,社会医療法人　あおぞらクリニック,080-0028,北海道帯広市西十八条南４－１５－１０,0155(36)7777,"3,000 ",○,満15歳以上,×,,
A010030,医療法人社団　竹桜会　小関内科医院,080-2469,北海道帯広市西十九条南２－２７－１２,0155(36)3535,"2,500 ",×,,×,,
A010040,医療法人社団　東綸会　さい内科クリニック,084-0910,北海道釧路市昭和中央３－２１－１１,0154(53)5071,"3,000 ",○,満3歳以上,×,,
A010064,トキワ医院,087-0041,北海道根室市常盤町２－４,0153(24)3221,"3,000 ",○,満1歳以上,×,,
