"code","name","ZIP","prefecture","address","tel","InsideInoculationPrice","TargetAge","age"
"A140078","医療法人社団うすい会　うすい整形外科医院","210-0006","神奈川県","神奈川県川崎市川崎区砂子２－２－１０第２園ビル","044(233)2224",3080,"満2歳以上",2
"A140092","村上外科医院","210-0834","神奈川県","神奈川県川崎市川崎区大島１－５－１４","044(244)3308",3000,"満1歳以上",1
"A140172","武蔵小杉内科・漢方・循環器","211-0004","神奈川県","神奈川県川崎市中原区下沼部１８１０－１シティハウス武蔵小杉２Ｆ","044(430)1248",3080,"満1歳以上",1
"A140149","すずき耳鼻咽喉科クリニック","211-0035","神奈川県","神奈川県川崎市中原区井田１－３６－３メディパーク川崎井田２Ｆ","044(272)8402",3000,"満1歳以上",1
"A140138","上杉クリニック","211-0041","神奈川県","神奈川県川崎市中原区下小田中１－１５－３３","044(766)7171",3080,"0ヵ月以上",0
"A140122","医療法人光仁会たかはし内科","211-0041","神奈川県","神奈川県川崎市中原区下小田中１－３－６ＪＯＪビル１Ｆ","044(740)2717",3000,"0ヵ月以上",0
"A140123","山高クリニック","211-0041","神奈川県","神奈川県川崎市中原区下小田中２－３３－３９グランディール１Ｆ","044(750)2323",3000,"満1歳以上",1
"A140215","医療法人　中島医院","211-0044","神奈川県","神奈川県川崎市中原区新城３－５－１","044(766)3770",3080,"6ヵ月以上",0.5
"A140013","医療法人社団　彩新会　ＫＳＰクリニック","213-0012","神奈川県","神奈川県川崎市高津区坂戸３－２－１かながわサイエンスパーク西棟５Ｆ","03(3713)5800",3080,"満1歳以上",1
"A140153","国島医院","213-0033","神奈川県","神奈川県川崎市高津区下作延３－２２－７","044(877)3871",3000,"6ヵ月以上",0.5
"A140152","長瀬クリニック","213-0033","神奈川県","神奈川県川崎市高津区下作延３－３－１０スルバリエ梶ヶ谷２Ｆ","044(870)5225",3080,"6ヵ月以上",0.5
"A140166","大倉消化器科　外科クリニック","214-0006","神奈川県","神奈川県川崎市多摩区菅仙谷４－１－５","044(969)7017",3080,"0ヵ月以上",0
"A140160","よみうりランド　準夜クリニック","214-0006","神奈川県","神奈川県川崎市多摩区菅仙谷４－１－５","044(969)7055",3080,"0ヵ月以上",0
"A140189","医療法人社団　家族の森　多摩ファミリークリニック","214-0013","神奈川県","神奈川県川崎市多摩区登戸新町３３７","044(930)5556",3080,"6ヵ月以上",0.5
"A140109","新ゆりクリニック","215-0004","神奈川県","神奈川県川崎市麻生区万福寺１－８－７","044(955)0661",3080,"満1歳以上",1
"A140234","医療法人社団　黎明会　新百合ヶ丘ステーションクリニック","215-0021","神奈川県","神奈川県川崎市麻生区上麻生１－２０－１小田急アコルデ新百合ヶ丘５階","044(966)1855",3080,"6ヵ月以上",0.5
"A140089","伊奈クリニック","215-0024","神奈川県","神奈川県川崎市麻生区白鳥３－５－１","044(988)1401",3080,"満1歳以上",1
"A140105","新百合ケ丘龍クリニック","215-0026","神奈川県","神奈川県川崎市麻生区古沢７","044(955)7231",3080,"満1歳以上",1
"A140053","医療法人社団　アスクレピオス　ランドマーク横浜国際クリニック","220-8107","神奈川県","神奈川県横浜市西区みなとみらい２－２－１ランドマークタワー７Ｆ","045(224)2111",3080,"満1歳以上",1
"A140068","おおぐり医院","221-0061","神奈川県","神奈川県横浜市神奈川区七島町１２７－９","045(430)1105",2500,"0ヵ月以上",0
"A140161","（医）社団　浅木クリニック","222-0011","神奈川県","神奈川県横浜市港北区菊名１－４－２","045(401)8222",2920,"6ヵ月以上",0.5
"A140059","中野こどもクリニック","222-0012","神奈川県","神奈川県横浜市港北区富士塚１－１－１","045(434)6500",3080,"6ヵ月以上",0.5
"A140191","新横浜整形外科リウマチ科","222-0033","神奈川県","神奈川県横浜市港北区新横浜３－６－４千歳観光ビル４階","045(548)3887",2500,"満1歳以上",1
"A140180","日吉内科","223-0062","神奈川県","神奈川県横浜市港北区日吉本町１－８－３","045(566)2385",3000,"満3歳以上",3
"A140184","（医）桂慈会　ほしの小児クリニック","224-0001","神奈川県","神奈川県横浜市都筑区中川１－１９－１－４Ｆ","045(910)3303",3080,"6ヵ月以上",0.5
"A140086","桜並木医院","224-0037","神奈川県","神奈川県横浜市都筑区茅ケ崎南２－１１－２","045(947)1772",3080,"満2歳以上",2
"A140128","みよしクリニック","226-0003","神奈川県","神奈川県横浜市緑区鴨居３－１－６鴨居岩間ビル１Ｆ","045(929)3440",3000,"満2歳以上",2
"A140131","岩波胃腸科外科医院","226-0022","神奈川県","神奈川県横浜市緑区青砥町１１２２","045(932)3806",3000,"満2歳以上",2
"A140175","野村医院","226-0028","神奈川県","神奈川県横浜市緑区いぶき野８－１５","045(981)2568",3080,"満1歳以上",1
"A140206","汐田総合病院","230-0001","神奈川県","神奈川県横浜市鶴見区矢向１－６－２０","045(574)1011",3000,"満1歳以上",1
"A140063","医療法人社団　幸遊会　エミング横浜鶴見クリニック","230-0051","神奈川県","神奈川県横浜市鶴見区鶴見中央１－６－８ドメスティックプラザ鶴見Ⅱ３Ｆ","045(633)8895",3080,"満1歳以上",1
"A140227","坂本クリニック","230-0052","神奈川県","神奈川県横浜市鶴見区生麦５－６－２","045(505)0347",3080,"満1歳以上",1
"A140143","ふくし内科クリニック","230-0071","神奈川県","神奈川県横浜市鶴見区駒岡４－１８－２０","045(573)7191",3080,"満1歳以上",1
"A140100","うしくぼ消化器・内科クリニック","231-0028","神奈川県","神奈川県横浜市中区翁町１－４－１アルテマリンウェーブビル２Ｆ","045(222)9533",3080,"6ヵ月以上",0.5
"A140049","医療法人社団　大星会　横浜大星クリニック","231-0062","神奈川県","神奈川県横浜市中区桜木町１－１－８日石横浜ビル２９Ｆ","045(683)6067",3080,"満1歳以上",1
"A140102","医療法人社団　広秀会　みなとクリニック","231-0806","神奈川県","神奈川県横浜市中区本牧町１－７","045(623)6633",3000,"満1歳以上",1
"A140119","南メディカルクリニック","232-0052","神奈川県","神奈川県横浜市南区井土ケ谷中町１２７－１","045(722)3885",3080,"満1歳以上",1
"A140205","医療法人社団ファミリーメディカル　上六ツ川内科クリニック","232-0066","神奈川県","神奈川県横浜市南区六ツ川１－８７３－３サンシティビル１階","045(306)8026",3080,"6ヵ月以上",0.5
"A140050","原整形外科医院","232-0067","神奈川県","神奈川県横浜市南区弘明寺町２６８","045(714)0037",3080,"満1歳以上",1
"A140194","上永谷ほほえみクリニック","233-0013","神奈川県","神奈川県横浜市港南区丸山台１－１１－１７","045(342)8810",2900,"満3歳以上",3
"A140196","医療法人社団　森豊会　中森内科クリニック","234-0055","神奈川県","神奈川県横浜市港南区日野８－８－７","045(846)0590",3080,"満1歳以上",1
"A140220","いけがわ医院","236-0028","神奈川県","神奈川県横浜市金沢区洲崎町４－３","045(782)8235",3080,"満1歳以上",1
"A140081","松瀬医院","236-0052","神奈川県","神奈川県横浜市金沢区富岡西５－５－１４","045(773)0397",2500,"満1歳以上",1
"A140021","医療法人社団　原医院","238-0034","神奈川県","神奈川県横須賀市金谷２－１－２２","046(851)1310",3080,"満1歳以上",1
"A140207","三浦海岸つばさクリニック","238-0101","神奈川県","神奈川県三浦市南下浦町上宮田３２３０－３　マホロバマインズ三浦別館１階","046(887)3555",3000,"6ヵ月以上",0.5
"A140082","石橋クリニック","239-0808","神奈川県","神奈川県横須賀市大津町１－８－３２","046(837)3233",3000,"0ヵ月以上",0
"A140075","めぐみケアクリニック","239-0831","神奈川県","神奈川県横須賀市久里浜１－１１－７","046(837)3341",3080,"満1歳以上",1
"A140134","医療法人社団　オオミチクリニック","240-0023","神奈川県","神奈川県横浜市保土ケ谷区岩井町１２２－１５","045(713)5959",3080,"満3歳以上",3
"A140224","医療法人社団　厚泉会　厚木中町クリニック","243-0018","神奈川県","神奈川県厚木市中町４－１０－２ハラダ中町ビル１階","046(221)4114",3080,"0ヵ月以上",0
"A140235","もり整形外科眼科","243-0401","神奈川県","神奈川県海老名市東柏ケ谷２－２９－１８","046(234)5565",3080,"6ヵ月以上",0.5
"A140198","横浜緑園丘の上クリニック","245-0009","神奈川県","神奈川県横浜市泉区新橋町５３－１","045(810)0250",3080,"6ヵ月以上",0.5
"A140125","板倉医院","245-0018","神奈川県","神奈川県横浜市泉区上飯田町１１０７－１","045(804)6631",2700,"6ヵ月以上",0.5
"A140141","医療法人社団　前田医院","247-0007","神奈川県","神奈川県横浜市栄区小菅ケ谷町２－３９－８","045(892)4678",3080,"満2歳以上",2
"A140042","鎌倉雪ノ下クリニック","248-0005","神奈川県","神奈川県鎌倉市雪ノ下４－１－８","0467(22)0111",3000,"満4歳以上",4
"A140002","医療法人社団　平平會　橋本クリニック","248-0014","神奈川県","神奈川県鎌倉市由比ガ浜２－２－４０鎌倉ＫＦビル２Ｆ","0467(22)7226",3080,"0ヵ月以上",0
"A140061","医療法人社団　幸遊会　逗子中央耳鼻咽喉科","249-0006","神奈川県","神奈川県逗子市逗子２－１－１５井上ビル２Ｆ","046(873)8733",3000,"満1歳以上",1
"A140144","医療法人社団　武尾医院","250-0117","神奈川県","神奈川県南足柄市塚原２６４１","0465(74)0235",3080,"6ヵ月以上",0.5
"A140005","医療法人社団　福井内科消化器科クリニック","250-0872","神奈川県","神奈川県小田原市中里３９２－１","0465(41)2227",3080,"満2歳以上",2
"A140003","医療法人社団　ぬまた内科呼吸器科","251-0002","神奈川県","神奈川県藤沢市大鋸１－２－１８藤沢ホスピタリティパーク３Ｆ","0466(29)5001",3080,"満1歳以上",1
"A140104","牧野クリニック","251-0021","神奈川県","神奈川県藤沢市鵠沼神明５－１３－１９第３森谷ビル３Ｆ","0466(29)5761",3000,"0ヵ月以上",0
"A140112","石神胃腸科内科小児科医院","251-0044","神奈川県","神奈川県藤沢市辻堂太平台１－３－２","0466(36)6377",3000,"満2歳以上",2
"A140096","医療法人社団　木村小児科医院","251-0052","神奈川県","神奈川県藤沢市藤沢９６５","0466(22)2648",3080,"0ヵ月以上",0
"A140237","鴇田医院","252-0001","神奈川県","神奈川県座間市相模が丘３－５３－１０","046(251)2205",3080,"満1歳以上",1
"A140201","降矢医院","252-0011","神奈川県","神奈川県座間市相武台３－１８－５１","046(251)1364",3080,"6ヵ月以上",0.5
"A140087","りつの医院","252-0144","神奈川県","神奈川県相模原市緑区東橋本２－１９－９","042(773)3322",3080,"9ヵ月以上",0.75
"A140230","医療法人社団悠心会　森田病院","252-0159","神奈川県","神奈川県相模原市緑区三ケ木６２７","042(784)4114",3080,"満3歳以上",3
"A140151","尾形内科．循環器科","252-0233","神奈川県","神奈川県相模原市中央区鹿沼台２－１１－５","042(756)6685",3080,"満1歳以上",1
"A140229","医療法人　奏健　やまもとクリニック","252-0311","神奈川県","神奈川県相模原市南区東林間５－１３－８","042(749)1101",3080,"満3歳以上",3
"A140030","医療法人社団　梶原医院","254-0077","神奈川県","神奈川県平塚市東中原１－１９－１８","0463(33)0321",3080,"満1歳以上",1
"A140202","クリニック斎藤","254-0902","神奈川県","神奈川県平塚市徳延５７２－１","0463(37)5525",2700,"満1歳以上",1
