"code","name","ZIP","prefecture","address","tel","InsideInoculationPrice","TargetAge","age"
"A110248","医療法人社団　康佑会　堀の内整形外科クリニック","330-0834","埼玉県","埼玉県さいたま市大宮区天沼町１－４５９－１","048(645)8037",3080,"満1歳以上",1
"A110231","増田外科医院","331-0812","埼玉県","埼玉県さいたま市北区宮原町４－３９－５","048(651)1531",3080,"0ヵ月以上",0
"A110210","むらのひがしクリニック","331-0815","埼玉県","埼玉県さいたま市北区大成町４－３１８－３","048(788)1781",3080,"満1歳以上",1
"A110062","川口パークタワークリニック","332-0016","埼玉県","埼玉県川口市幸町１－７－１川口パークタワー２Ｆ","048(255)7222",3080,"満1歳以上",1
"A110154","八代耳鼻咽喉科","332-0021","埼玉県","埼玉県川口市西川口２－２－９","048(252)6387",3000,"満1歳以上",1
"A110205","医療法人　社団創友会　丸山クリニック","333-0806","埼玉県","埼玉県川口市戸塚境町３５－１０フォルテシモ１階","048(294)9788",3000,"6ヵ月以上",0.5
"A110123","医療法人久恩会下条医院","333-0847","埼玉県","埼玉県川口市芝中田１－３０－８","048(266)1134",3000,"9ヵ月以上",0.75
"A110126","小谷場クリニック","333-0857","埼玉県","埼玉県川口市大字小谷場４１０－１","048(268)9298",3000,"満1歳以上",1
"A110174","柿田医院","335-0002","埼玉県","埼玉県蕨市塚越２－６－７","048(447)2827",3080,"満3歳以上",3
"A110076","医療法人　寺田会　おくだ整形外科内科","335-0004","埼玉県","埼玉県蕨市中央３－３－１５－２Ｆ","048(447)4332",3000,"0ヵ月以上",0
"A110036","戸田おおたクリニック","335-0013","埼玉県","埼玉県戸田市喜沢１－１８－８まるたけビル１Ｆ","048(432)5199",3080,"6ヵ月以上",0.5
"A110124","公園の街クリニック","335-0023","埼玉県","埼玉県戸田市本町５－１３－１９","048(447)6571",3080,"満1歳以上",1
"A110128","医療法人　慶和会　武蔵浦和耳鼻咽喉科","336-0022","埼玉県","埼玉県さいたま市南区白幡４－２１－７武蔵浦和医療ビル２Ｆ","048(839)4187",3000,"満1歳以上",1
"A110115","ユニット・ワン外科クリニック","336-0025","埼玉県","埼玉県さいたま市南区文蔵３－１１－３ユニット・ワンビル２Ｆ","048(865)0929",3080,"満2歳以上",2
"A110218","いけがみ内科ファミリークリニック","336-0033","埼玉県","埼玉県さいたま市南区曲本３－６－２","048(872)8700",3080,"0ヵ月以上",0
"A110242","こんの内科","336-0042","埼玉県","埼玉県さいたま市南区大谷口５６１０","048(881)2321",3080,"満3歳以上",3
"A110230","医療法人社団ふさの会　しみずクリニックふさ","336-0963","埼玉県","埼玉県さいたま市緑区大門４４３０","048(799)2320",3080,"満1歳以上",1
"A110118","医療法人社団　風凛香　つばさクリニック","337-0016","埼玉県","埼玉県さいたま市見沼区大字東門前４３－１","048(682)2839",3080,"満2歳以上",2
"A110229","医療法人　共育会　中里小児科","337-0051","埼玉県","埼玉県さいたま市見沼区東大宮６－２２－６","048(683)8488",3080,"6ヵ月以上",0.5
"A110075","生駒医院","338-0001","埼玉県","埼玉県さいたま市中央区上落合６－９－８","048(852)3252",3000,"満1歳以上",1
"A110141","眞弓循環器科クリニック","339-0067","埼玉県","埼玉県さいたま市岩槻区西町１－１－２６プレミアムタワー２０２","048(790)1611",3080,"0ヵ月以上",0
"A110178","水野クリニック","340-0011","埼玉県","埼玉県草加市栄町３－６－６","048(930)1700",3080,"満4歳以上",4
"A110121","水野医院","340-0011","埼玉県","埼玉県草加市栄町３－９－１９","048(931)7690",3080,"満1歳以上",1
"A110195","医療法人　山崎クリニック","340-0016","埼玉県","埼玉県草加市中央２－４－１１","048(924)1375",3080,"6ヵ月以上",0.5
"A110122","児玉医院","340-0034","埼玉県","埼玉県草加市氷川町２１４４－２５","048(925)1819",3000,"6ヵ月以上",0.5
